@relation repo_popular

@attribute fork numeric
@attribute size numeric
@attribute sum numeric
@attribute avg numeric
@attribute weight numeric

@data
0,76,2793,2793,2793
2,462,912,456,666.5
56,19912,447,37.25,55.6591
3,4140,814,81.4,104.22
0,105,877,877,877
1,88,4665,4665,4665
1,109,102,102,102
26,233,6699,3349.5,5321.4
44,2535,8454,469.667,618.44
0,136,2112,2112,2112
1,100,1340,1340,1340
8,1968,15387,15387,15387
26,353,2282,253.556,1487.96
3,77,954,477,477
7,145,69,34.5,6.71111
2,135,1424,712,1195.57
21,238,966,120.75,151.683
26,109,3622,1811,3221.87
479,24180,1532,1532,1532
115,482,3571,274.692,1055.74
6,524,1841,920.5,1488.24
0,4500,9076,363.04,457.976
0,180,1334,1334,1334
0,107,14,14,14
2,5412,1735,1735,1735
3,488,98,49,46.1299
0,91,1604,802,1217.8
957,8629,2960,113.846,1184.95
1,18262,81812,447.06,3650.74
25,2192,6260,6260,6260
19,348,7806,780.6,7019.26
1,392,64905,2821.96,6878.46
0,109,0,0,0
110,15891,7060,470.667,4756.1
0,812,963,321,537.231
2,10294,89,14.8333,19.7066
3,4496,7326,7326,7326
65,249,15887,1444.27,9841.66
0,5204,64,64,64
19,1463,9907,3302.33,6453.58
128,994,9021,2255.25,1235.07
2,92,1735,1735,1735
51,601,3530,294.167,948.013
48,69,7618,1269.67,6844.57
1,88,107,107,107
90,123,266,53.2,73.3333
0,152,0,0,0
0,196,1766,1766,1766
1,80,0,0,0
0,104,0,0,0
70,668,25420,2542,8717.27
12,180,1787,595.667,1618.58
2,850,24,24,24
4,80,15387,15387,15387
4,76,15387,15387,15387
0,115,5933,2966.5,5272.5
184,2033,11833,1314.78,8247.69
14,81,8189,8189,8189
0,80,3286,3286,3286
1,1240,11,11,11
2,2671,27521,2752.1,2229.63
7,196,1492,373,1064.78
0,80,0,0,0
2,96,1340,1340,1340
1,5740,6260,6260,6260
3,141,5076,1692,2864.37
7,151,2030,507.5,1163.96
1,10012,3850,320.833,469.105
4,376,3286,3286,3286
7,126,1536,768,1433.42
1,108,954,477,419.857
1,180,3401,1700.5,2499.25
2,4100,7326,7326,7326
2,452,7326,7326,7326
1,390,27597,2299.75,7014.79
4,5635,3367,134.68,287.1
0,94,49,49,49
5,249,135,135,135
3,120,150,25,22.7632
1,277,1526,763,221.691
0,104,1495,1495,1495
1,102,1029,343,101.069
6,106,69,34.5,52.2
0,220,5,5,5
0,1532,1474,1474,1474
5,225,2284,1142,1658.82
0,124,10929,10929,10929
2,194,19666,6555.33,14458.1
0,90,881,440.5,295
5,91,133,44.3333,58.2143
0,48,0,0,0
2,85,8068,4034,1340.55
1,187,0,0,0
0,5454,1781,445.25,213.5
2,12387,16,16,16
0,8488,1340,1340,1340
2,185,0,0,0
1,85,5,5,5
0,120,2112,2112,2112
3,93,0,0,0
0,84,2112,2112,2112
0,372,2,2,2
11,221,641,320.5,90.7586
0,132,1840,1840,1840
51,358,2297,255.222,1504.2
0,103,3687,1843.5,1035.44
0,48,0,0,0
0,124,1340,1340,1340
1,88,32,32,32
1,245,2714,678.5,294.778
3,111,1334,1334,1334
3,91,3286,3286,3286
3,219,0,0,0
0,1356,2104,2104,2104
0,100,2655,2655,2655
57,1051,5849,5849,5849
9,88,1334,1334,1334
38,527,10929,10929,10929
1,84,12052,12052,12052
49,3011,15387,15387,15387
630,192,19308,9654,19062.7
0,80,1363,1363,1363
0,85,68,34,47.3333
0,512,7,7,7
1,128,5139,5139,5139
0,105,1679,559.667,215.909
0,84,2112,2112,2112
134,492,11359,218.442,1141.17
60,8547,3298,3298,3298
0,80,0,0,0
0,304,3996,210.316,852.007
